log,label
PacketResponder 0 for block blk_-4003429123057279759 terminating,network_error
Receiving block blk_3380979111295043814 src: /10.251.29.239:46285 dest: /10.251.29.239:50010,api_request
PacketResponder 2 for block blk_-5620918626619516154 terminating,network_error
Received block blk_313462939647146257 of size 67108864 from /10.251.31.85,api_request
Received block blk_-5356068163082614379 of size 67108864 from /10.251.42.84,api_request
Receiving block blk_3380979111295043814 src: /10.251.89.155:47783 dest: /10.251.89.155:50010,api_request
PacketResponder 2 for block blk_4534426333428888985 terminating,network_error
Receiving block blk_-1445970677921829671 src: /10.251.71.146:48414 dest: /10.251.71.146:50010,api_request
Receiving block blk_-1423679051830694670 src: /10.251.126.227:54605 dest: /10.251.126.227:50010,api_request
Receiving block blk_2775713868141410685 src: /10.251.39.192:39945 dest: /10.251.39.192:50010,api_request
Receiving block blk_-598955920782630733 src: /10.250.19.16:38337 dest: /10.250.19.16:50010,api_request
Receiving block blk_-5039164935117450945 src: /10.251.198.196:49371 dest: /10.251.198.196:50010,api_request
Received block blk_-5620918626619516154 of size 67108864 from /10.251.27.63,api_request
PacketResponder 1 for block blk_-7084167786157129167 terminating,network_error
Received block blk_-7084167786157129167 of size 67108864 from /10.251.203.149,api_request
Receiving block blk_3380979111295043814 src: /10.251.29.239:46674 dest: /10.251.29.239:50010,api_request
PacketResponder 0 for block blk_750848192117179744 terminating,network_error
Received block blk_4534426333428888985 of size 67108864 from /10.251.199.19,api_request
PacketResponder 0 for block blk_8081855625225189487 terminating,network_error
Received block blk_-4003429123057279759 of size 67108864 from /10.250.18.114,api_request
PacketResponder 2 for block blk_-933512214233668771 terminating,network_error
10.251.39.179:50010:Transmitted block blk_-963887220294303910 to /10.251.70.37:50010,api_request
PacketResponder 1 for block blk_8693960090226565974 terminating,network_error
PacketResponder 1 for block blk_-7738534585403284719 terminating,network_error
Receiving block blk_-836233151529212612 src: /10.251.74.79:54105 dest: /10.251.74.79:50010,api_request
PacketResponder 2 for block blk_-8856211891486528880 terminating,network_error
PacketResponder 0 for block blk_1631179288873364876 terminating,network_error
Received block blk_8081855625225189487 of size 67108864 from /10.251.67.113,api_request
Received block blk_750848192117179744 of size 67108864 from /10.251.123.99,api_request
Receiving block blk_-7646259861420382780 src: /10.251.193.175:54709 dest: /10.251.193.175:50010,api_request
Received block blk_-933512214233668771 of size 67108864 from /10.251.199.150,api_request
Received block blk_8693960090226565974 of size 67108864 from /10.251.74.192,api_request
Verification succeeded for blk_100112749641533287,authentication_success
Received block blk_-7738534585403284719 of size 67108864 from /10.251.214.18,api_request
Received block blk_-8856211891486528880 of size 67108864 from /10.250.15.240,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.5.161:50010 is added to blk_4018923393939546231 size 67108864,filesystem_error
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.192:50010 is added to blk_4625274985432880454 size 67108864,api_request
Received block blk_1631179288873364876 of size 67108864 from /10.250.15.198,api_request
PacketResponder 0 for block blk_1726271502412816449 terminating,network_error
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000568_0/part-00568. blk_2270075135917960167,filesystem_error
PacketResponder 2 for block blk_1631179288873364876 terminating,network_error
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000042_0/part-00042. blk_-2733306378095838778,filesystem_error
Receiving block blk_7946959404637598194 src: /10.251.110.160:49097 dest: /10.251.110.160:50010,api_request
PacketResponder 0 for block blk_-2929623786234498912 terminating,network_error
Receiving block blk_3556492567840444123 src: /10.251.74.192:57475 dest: /10.251.74.192:50010,api_request
Received block blk_1726271502412816449 of size 67108864 from /10.251.71.97,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.242:50010 is added to blk_4018923393939546231 size 67108864,filesystem_error
Received block blk_1631179288873364876 of size 67108864 from /10.251.67.113,api_request
Receiving block blk_-2789622180344500080 src: /10.251.109.236:53036 dest: /10.251.109.236:50010,api_request
PacketResponder 0 for block blk_-8208966329614548928 terminating,network_error
PacketResponder 1 for block blk_-8296880933210608104 terminating,network_error
Received block blk_-2929623786234498912 of size 67108864 from /10.251.123.1,api_request
PacketResponder 1 for block blk_3789259493257927466 terminating,filesystem_error
Received block blk_-8208966329614548928 of size 67108864 from /10.251.31.180,api_request
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000680_0/part-00680. blk_-2392810547384236644,filesystem_error
PacketResponder 2 for block blk_750848192117179744 terminating,network_error
Received block blk_3789259493257927466 of size 67108864 from /10.251.197.226,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.16:50010 is added to blk_-3890498788709431098 size 67108864,filesystem_error
Receiving block blk_2270075135917960167 src: /10.251.43.192:55175 dest: /10.251.43.192:50010,api_request
Received block blk_750848192117179744 of size 67108864 from /10.251.74.134,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.192:50010 is added to blk_-4878768203334368239 size 67108864,api_request
PacketResponder 0 for block blk_-2401344551726058630 terminating,network_error
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.66.102:50010 is added to blk_6523914693513653213 size 67108864,filesystem_error
PacketResponder 2 for block blk_1726271502412816449 terminating,network_error
Received block blk_-8296880933210608104 of size 67108864 from /10.251.29.239,api_request
Received block blk_-2401344551726058630 of size 67108864 from /10.251.91.159,api_request
Received block blk_1726271502412816449 of size 67108864 from /10.251.122.79,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_4625274985432880454 size 67108864,filesystem_error
Receiving block blk_7433144110105489611 src: /10.251.91.15:38549 dest: /10.251.91.15:50010,api_request
Receiving block blk_-1423679051830694670 src: /10.251.127.243:33056 dest: /10.251.127.243:50010,api_request
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000757_0/part-00757. blk_7433144110105489611,filesystem_error
PacketResponder 0 for block blk_4534426333428888985 terminating,network_error
Receiving block blk_-1423679051830694670 src: /10.251.127.243:42681 dest: /10.251.127.243:50010,api_request
PacketResponder 2 for block blk_-2929623786234498912 terminating,network_error
Receiving block blk_-5874656005545583085 src: /10.251.122.38:49024 dest: /10.251.122.38:50010,api_request
Received block blk_4534426333428888985 of size 67108864 from /10.251.203.149,api_request
Receiving block blk_3998373347099073880 src: /10.251.215.50:49071 dest: /10.251.215.50:50010,api_request
PacketResponder 2 for block blk_-4003429123057279759 terminating,filesystem_error
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000602_0/part-00602. blk_-343012738927737560,filesystem_error
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4625274985432880454 size 67108864,filesystem_error
Received block blk_-2929623786234498912 of size 67108864 from /10.251.110.160,api_request
Receiving block blk_3849222345809742029 src: /10.251.126.255:42109 dest: /10.251.126.255:50010,api_request
Receiving block blk_7379833155074044619 src: /10.251.42.207:57107 dest: /10.251.42.207:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_4605973202398610041 size 67108864,api_request
Receiving block blk_-2789622180344500080 src: /10.250.15.240:48329 dest: /10.250.15.240:50010,api_request
PacketResponder 1 for block blk_6523914693513653213 terminating,network_error
Received block blk_-4003429123057279759 of size 67108864 from /10.250.11.194,api_request
Receiving block blk_7703578533341739184 src: /10.251.125.237:57097 dest: /10.251.125.237:50010,api_request
PacketResponder 0 for block blk_313462939647146257 terminating,network_error
Received block blk_6523914693513653213 of size 67108864 from /10.251.71.240,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.19.16:50010 is added to blk_4605973202398610041 size 67108864,filesystem_error
Receiving block blk_-7725125028658915023 src: /10.251.31.242:39008 dest: /10.251.31.242:50010,api_request
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000752_0/part-00752. blk_-800020156232699336,filesystem_error
Receiving block blk_-7453391683012592538 src: /10.251.215.16:60635 dest: /10.251.215.16:50010,api_request
PacketResponder 1 for block blk_-2929623786234498912 terminating,network_error
Received block blk_313462939647146257 of size 67108864 from /10.251.214.18,api_request
PacketResponder 2 for block blk_-8592783146128373201 terminating,network_error
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000753_0/part-00753. blk_97166147087111921,filesystem_error
Received block blk_-2929623786234498912 of size 67108864 from /10.251.110.160,api_request
Receiving block blk_-2496142279117518004 src: /10.251.31.85:45323 dest: /10.251.31.85:50010,api_request
Receiving block blk_-5326721847686164116 src: /10.251.122.79:49076 dest: /10.251.122.79:50010,api_request
Receiving block blk_-3027885019087022953 src: /10.251.106.37:54913 dest: /10.251.106.37:50010,api_request
Received block blk_-8592783146128373201 of size 67108864 from /10.251.73.188,api_request
Receiving block blk_8771642778823756157 src: /10.250.10.213:54790 dest: /10.250.10.213:50010,api_request
PacketResponder 0 for block blk_-3229867691344414430 terminating,network_error
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.21:50010 is added to blk_-3229867691344414430 size 67108864,filesystem_error
PacketResponder 2 for block blk_4625274985432880454 terminating,filesystem_error
Receiving block blk_3849222345809742029 src: /10.251.199.150:57007 dest: /10.251.199.150:50010,api_request
PacketResponder 2 for block blk_-8208966329614548928 terminating,network_error
Receiving block blk_4822695719005003037 src: /10.251.214.225:40085 dest: /10.251.214.225:50010,api_request
Received block blk_-3229867691344414430 of size 67108864 from /10.251.42.207,api_request
PacketResponder 2 for block blk_8693960090226565974 terminating,network_error
Received block blk_-8208966329614548928 of size 67108864 from /10.251.199.225,api_request
Receiving block blk_7946959404637598194 src: /10.251.122.79:60561 dest: /10.251.122.79:50010,api_request
PacketResponder 2 for block blk_-617174463573695171 terminating,network_error
Received block blk_4625274985432880454 of size 67108864 from /10.251.43.192,api_request
Receiving block blk_-3027885019087022953 src: /10.251.106.37:55340 dest: /10.251.106.37:50010,api_request
Received block blk_-617174463573695171 of size 67108864 from /10.251.203.246,api_request
Received block blk_8693960090226565974 of size 67108864 from /10.251.74.192,api_request
PacketResponder 0 for block blk_6523914693513653213 terminating,network_error
Receiving block blk_-2789622180344500080 src: /10.250.15.240:45309 dest: /10.250.15.240:50010,api_request
Receiving block blk_-2392810547384236644 src: /10.251.110.196:46165 dest: /10.251.110.196:50010,api_request
Receiving block blk_-343012738927737560 src: /10.251.67.113:32858 dest: /10.251.67.113:50010,api_request
Received block blk_6523914693513653213 of size 67108864 from /10.250.10.176,api_request
Receiving block blk_-800020156232699336 src: /10.251.39.192:55748 dest: /10.251.39.192:50010,api_request
PacketResponder 0 for block blk_-617174463573695171 terminating,network_error
Receiving block blk_-5326721847686164116 src: /10.251.122.79:46580 dest: /10.251.122.79:50010,api_request
writeBlock blk_97166147087111921 received exception java.io.IOException: Could not read from stream,filesystem_error
Received block blk_-617174463573695171 of size 67108864 from /10.251.31.160,api_request
Receiving block blk_-2733306378095838778 src: /10.251.215.16:60103 dest: /10.251.215.16:50010,api_request
Receiving block blk_7703578533341739184 src: /10.251.199.19:47677 dest: /10.251.199.19:50010,api_request
Receiving block blk_2270075135917960167 src: /10.251.43.192:45268 dest: /10.251.43.192:50010,api_request
Receiving block blk_7433144110105489611 src: /10.251.91.15:57043 dest: /10.251.91.15:50010,api_request
PacketResponder 2 for block blk_6523914693513653213 terminating,network_error
PacketResponder 1 for block blk_-2061112640193963879 terminating,network_error
Receiving block blk_-4466400088552187062 src: /10.251.110.160:60019 dest: /10.251.110.160:50010,api_request
Received block blk_-2061112640193963879 of size 67108864 from /10.251.106.37,api_request
PacketResponder 0 for block blk_-3890498788709431098 terminating,network_error
PacketResponder 1 for block blk_4605973202398610041 terminating,network_error
Received block blk_6523914693513653213 of size 67108864 from /10.251.71.240,api_request
Received block blk_-3890498788709431098 of size 67108864 from /10.251.70.5,api_request
Receiving block blk_7946959404637598194 src: /10.251.110.160:60024 dest: /10.251.110.160:50010,api_request
Received block blk_4605973202398610041 of size 67108864 from /10.251.106.37,api_request
Receiving block blk_-8403863219461152282 src: /10.251.123.1:43729 dest: /10.251.123.1:50010,api_request
Receiving block blk_97166147087111921 src: /10.251.39.192:59966 dest: /10.251.39.192:50010,api_request
Receiving block blk_3556492567840444123 src: /10.251.123.1:57669 dest: /10.251.123.1:50010,api_request
PacketResponder 2 for block blk_7399232881442109666 terminating,network_error
PacketResponder 2 for block blk_-8719013163248570074 terminating,network_error
Receiving block blk_-6212811321158770182 src: /10.251.66.102:34342 dest: /10.251.66.102:50010,api_request
PacketResponder 0 for block blk_8693960090226565974 terminating,network_error
PacketResponder 1 for block blk_4534426333428888985 terminating,network_error
PacketResponder 0 for block blk_4018923393939546231 terminating,network_error
Verification succeeded for blk_1447001274902055614,authentication_success
Received block blk_4534426333428888985 of size 67108864 from /10.251.199.19,api_request
Received block blk_8693960090226565974 of size 67108864 from /10.251.42.16,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.214:50010 is added to blk_-7738534585403284719 size 67108864,filesystem_error
Received block blk_7399232881442109666 of size 67108864 from /10.251.30.134,api_request
PacketResponder 1 for block blk_4625274985432880454 terminating,network_error
Receiving block blk_-3027885019087022953 src: /10.250.6.223:45486 dest: /10.250.6.223:50010,api_request
Receiving block blk_3849222345809742029 src: /10.251.199.150:53557 dest: /10.251.199.150:50010,api_request
Received block blk_-8719013163248570074 of size 67108864 from /10.251.38.53,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.121.224:50010 is added to blk_-1999301527305082358 size 67108864,filesystem_error
Received block blk_4018923393939546231 of size 67108864 from /10.250.5.161,api_request
PacketResponder 1 for block blk_-5620918626619516154 terminating,network_error
Receiving block blk_3998373347099073880 src: /10.251.27.63:57638 dest: /10.251.27.63:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.122.65:50010 is added to blk_8325907881894424389 size 67108864,filesystem_error
Receiving block blk_3998373347099073880 src: /10.251.27.63:57831 dest: /10.251.27.63:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.199.150:50010 is added to blk_6097741244282888778 size 67108864,api_request
PacketResponder 2 for block blk_8782208400278719319 terminating,network_error
Received block blk_4625274985432880454 of size 67108864 from /10.251.43.192,api_request
Received block blk_-5620918626619516154 of size 67108864 from /10.251.27.63,api_request
Received block blk_8782208400278719319 of size 67108864 from /10.250.6.191,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.26.177:50010 is added to blk_7816238467952623170 size 67108864,api_request
Receiving block blk_-7453391683012592538 src: /10.251.67.113:56019 dest: /10.251.67.113:50010,api_request
Received block blk_4018923393939546231 of size 67108864 from /10.251.110.196,api_request
PacketResponder 1 for block blk_4018923393939546231 terminating,filesystem_error
Receiving block blk_8652779608730262978 src: /10.251.39.209:55300 dest: /10.251.39.209:50010,api_request
Receiving block blk_4822695719005003037 src: /10.251.214.225:41144 dest: /10.251.214.225:50010,api_request
Receiving block blk_8771642778823756157 src: /10.251.42.84:37140 dest: /10.251.42.84:50010,api_request
PacketResponder 1 for block blk_8782208400278719319 terminating,network_error
Receiving block blk_8771642778823756157 src: /10.251.42.84:52008 dest: /10.251.42.84:50010,api_request
Received block blk_8782208400278719319 of size 67108864 from /10.250.6.191,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.30.101:50010 is added to blk_-3446570477471269292 size 67108864,api_request
PacketResponder 0 for block blk_4605973202398610041 terminating,network_error
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000410_0/part-00410. blk_-9219948612998964684,filesystem_error
PacketResponder 1 for block blk_-3229867691344414430 terminating,network_error
Receiving block blk_-343012738927737560 src: /10.251.43.21:51890 dest: /10.251.43.21:50010,api_request
Receiving block blk_3623513225228342200 src: /10.251.30.6:59895 dest: /10.251.30.6:50010,api_request
Receiving block blk_-2392810547384236644 src: /10.251.126.22:51645 dest: /10.251.126.22:50010,api_request
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000617_0/part-00617. blk_9026395315887190620,filesystem_error
Receiving block blk_-4358861442329520889 src: /10.250.18.114:50110 dest: /10.250.18.114:50010,api_request
PacketResponder 2 for block blk_4041624061581285161 terminating,network_error
Received block blk_4605973202398610041 of size 67108864 from /10.251.73.220,api_request
Receiving block blk_7379833155074044619 src: /10.251.38.197:44293 dest: /10.251.38.197:50010,api_request
Receiving block blk_7433144110105489611 src: /10.251.66.3:38707 dest: /10.251.66.3:50010,api_request
Received block blk_-3229867691344414430 of size 67108864 from /10.251.43.21,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.5.237:50010 is added to blk_7816238467952623170 size 67108864,filesystem_error
Receiving block blk_3556492567840444123 src: /10.251.74.192:47714 dest: /10.251.74.192:50010,api_request
Receiving block blk_398451617297365078 src: /10.251.71.240:55381 dest: /10.251.71.240:50010,api_request
Receiving block blk_-8403863219461152282 src: /10.251.123.1:35223 dest: /10.251.123.1:50010,api_request
PacketResponder 1 for block blk_-617174463573695171 terminating,network_error
Received block blk_4041624061581285161 of size 67108864 from /10.251.107.196,api_request
Receiving block blk_-4358861442329520889 src: /10.251.38.53:36082 dest: /10.251.38.53:50010,api_request
Receiving block blk_-5874656005545583085 src: /10.251.199.225:34487 dest: /10.251.199.225:50010,api_request
Receiving block blk_3623513225228342200 src: /10.251.30.6:45133 dest: /10.251.30.6:50010,api_request
Receiving block blk_-2392810547384236644 src: /10.251.110.196:51049 dest: /10.251.110.196:50010,api_request
Receiving block blk_-9089961271629225005 src: /10.251.39.209:35837 dest: /10.251.39.209:50010,api_request
Received block blk_-617174463573695171 of size 67108864 from /10.251.203.246,api_request
Received block blk_4018923393939546231 of size 67108864 from /10.251.110.196,api_request
Receiving block blk_398451617297365078 src: /10.250.15.240:54776 dest: /10.250.15.240:50010,api_request
PacketResponder 2 for block blk_4018923393939546231 terminating,network_error
Receiving block blk_-6212811321158770182 src: /10.251.73.188:42115 dest: /10.251.73.188:50010,api_request
PacketResponder 1 for block blk_7399232881442109666 terminating,network_error
Receiving block blk_-1705106607238317189 src: /10.250.11.194:52365 dest: /10.250.11.194:50010,api_request
Receiving block blk_-1705106607238317189 src: /10.250.11.194:40637 dest: /10.250.11.194:50010,api_request
Receiving block blk_-1445970677921829671 src: /10.251.43.21:36749 dest: /10.251.43.21:50010,api_request
Received block blk_7399232881442109666 of size 67108864 from /10.251.30.134,api_request
Receiving block blk_398451617297365078 src: /10.251.71.240:36956 dest: /10.251.71.240:50010,api_request
PacketResponder 1 for block blk_-3890498788709431098 terminating,network_error
Receiving block blk_-7453391683012592538 src: /10.251.67.113:36168 dest: /10.251.67.113:50010,api_request
Receiving block blk_-5874656005545583085 src: /10.251.199.225:59717 dest: /10.251.199.225:50010,api_request
Receiving block blk_8948624301149724995 src: /10.251.203.246:39481 dest: /10.251.203.246:50010,api_request
Verification succeeded for blk_7427307448707327249,authentication_success
Received block blk_-3890498788709431098 of size 67108864 from /10.251.215.16,api_request
Receiving block blk_-1705106607238317189 src: /10.251.202.181:59236 dest: /10.251.202.181:50010,api_request
Receiving block blk_-5039164935117450945 src: /10.251.67.4:57836 dest: /10.251.67.4:50010,api_request
Deleting block blk_-963887220294303910 file /mnt/hadoop/dfs/data/current/subdir55/blk_-963887220294303910,filesystem_error
Receiving block blk_8948624301149724995 src: /10.251.203.246:35842 dest: /10.251.203.246:50010,api_request
Receiving block blk_-4466400088552187062 src: /10.251.110.160:42184 dest: /10.251.110.160:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.18.114:50010 is added to blk_-4003429123057279759 size 67108864,filesystem_error
Receiving block blk_-9089961271629225005 src: /10.251.123.99:50454 dest: /10.251.123.99:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2929623786234498912 size 67108864,api_request
PacketResponder 0 for block blk_-5075281238358203500 terminating,network_error
Receiving block blk_-800020156232699336 src: /10.251.67.225:42820 dest: /10.251.67.225:50010,api_request
Receiving block blk_-5039164935117450945 src: /10.251.67.4:33764 dest: /10.251.67.4:50010,api_request
Receiving block blk_-343012738927737560 src: /10.251.43.21:59459 dest: /10.251.43.21:50010,api_request
Receiving block blk_2270075135917960167 src: /10.251.30.85:42762 dest: /10.251.30.85:50010,api_request
Receiving block blk_-7646259861420382780 src: /10.251.197.226:33677 dest: /10.251.197.226:50010,api_request
PacketResponder 0 for block blk_-7813505325404814073 terminating,network_error
PacketResponder 2 for block blk_4605387128493718325 terminating,filesystem_error
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.122.79:50010 is added to blk_1726271502412816449 size 67108864,api_request
Receiving block blk_-1445970677921829671 src: /10.251.71.146:57146 dest: /10.251.71.146:50010,api_request
Received block blk_4605387128493718325 of size 67108864 from /10.251.25.237,api_request
PacketResponder 2 for block blk_3789259493257927466 terminating,network_error
Receiving block blk_-5943236831140622436 src: /10.251.39.179:35860 dest: /10.251.39.179:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.127.243:50010 is added to blk_-5620918626619516154 size 67108864,filesystem_error
Received block blk_3789259493257927466 of size 67108864 from /10.251.197.226,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.127.243:50010 is added to blk_-933512214233668771 size 67108864,filesystem_error
Received block blk_-5075281238358203500 of size 67108864 from /10.251.39.192,api_request
Receiving block blk_1774305573023321883 src: /10.251.123.20:38179 dest: /10.251.123.20:50010,api_request
Receiving block blk_-7646259861420382780 src: /10.251.197.226:55399 dest: /10.251.197.226:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_3789259493257927466 size 67108864,api_request
Received block blk_-7813505325404814073 of size 67108864 from /10.251.199.86,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.112:50010 is added to blk_1726271502412816449 size 67108864,filesystem_error
PacketResponder 1 for block blk_-8427803867590461345 terminating,network_error
Receiving block blk_-2954113619284156045 src: /10.251.199.159:36942 dest: /10.251.199.159:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.90.134:50010 is added to blk_-967996491121599783 size 67108864,filesystem_error
Receiving block blk_1774305573023321883 src: /10.250.10.213:43365 dest: /10.250.10.213:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.123.20:50010 is added to blk_750848192117179744 size 67108864,api_request
Received block blk_-8427803867590461345 of size 67108864 from /10.251.199.86,api_request
Receiving block blk_4548739026758822283 src: /10.251.126.255:46589 dest: /10.251.126.255:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.194:50010 is added to blk_-4003429123057279759 size 67108864,filesystem_error
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.123.1:50010 is added to blk_-2929623786234498912 size 67108864,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.18:50010 is added to blk_-7738534585403284719 size 67108864,filesystem_error
PacketResponder 0 for block blk_4605387128493718325 terminating,network_error
PacketResponder 0 for block blk_7399232881442109666 terminating,network_error
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.225:50010 is added to blk_-2478725565708611354 size 67108864,filesystem_error
Receiving block blk_-800020156232699336 src: /10.251.39.192:35356 dest: /10.251.39.192:50010,api_request
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.242:50010 is added to blk_-402712920386909980 size 67108864,filesystem_error
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000759_0/part-00759. blk_1817732267541489826,filesystem_error
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.42.16:50010 is added to blk_8693960090226565974 size 67108864,api_request
Received block blk_7399232881442109666 of size 67108864 from /10.251.194.213,api_request
