text,label
"Failed login attempt for user 'admin'",authentication_failure
"Invalid credentials provided for user 'devops'",authentication_failure
"Authentication failed: token invalid for 'admin'",authentication_failure
"MFA verification failed for 'john.doe'",authentication_failure
"Kerberos authentication failed for 'root'",authentication_failure
"SSO login denied for 'qa-user'",authentication_failure
"User 'service' blocked after failed attempts",authentication_failure
"Authentication failed: token invalid for 'service'",authentication_failure
"Failed login attempt for user 'backup'",authentication_failure
"Invalid credentials provided for user 'ubuntu'",authentication_failure
"User 'analytics' successfully authenticated",authentication_success
"Authentication succeeded for 'qa-test'",authentication_success
"Token validated for 'root'",authentication_success
"Accepted password for 'deploy-user'",authentication_success
"SSO login successful for 'alice'",authentication_success
"User 'admin' successfully authenticated",authentication_success
"Authentication succeeded for 'service-account'",authentication_success
"Login success: session established",authentication_success
"MFA challenge passed for 'john.doe'",authentication_success
"API token successfully verified",authentication_success
"API error 500 for endpoint /v1/process",api_error
"Unexpected API exception at /v1/items",api_error
"Malformed API request to /v3/report",api_error
"Gateway returned 502 for /v1/update",api_error
"API error: conflict on /v2/config",api_error
"API responded with 409 conflict on /v2/sync",api_error
"Unexpected API exception at /v1/auth",api_error
"API timeout contacting downstream compute service",api_error
"GET /v1/search crashed with server error",api_error
"POST /auth/token returned error: signature failed",api_error
"Incoming request: GET /v1/metrics",api_request
"POST /v2/users initiated",api_request
"PUT /assets/update started",api_request
"DELETE /sessions/12 processed",api_request
"PATCH /services/config received",api_request
"OPTIONS /v1/auth from client",api_request
"HEAD /api/status check executed",api_request
"GET /v3/model/active",api_request
"POST /auth/refresh initiated",api_request
"GET /v1/ping from client",api_request
"Configuration error: missing key 'cluster.id'",configuration_error
"Invalid YAML syntax in 'config.yml'",configuration_error
"Malformed JSON in 'service.json'",configuration_error
"Unknown configuration parameter 'modeX'",configuration_error
"Configuration mismatch detected in 'deployment.yml'",configuration_error
"Failed to load configuration: syntax error in json",configuration_error
"Invalid environment variable in startup config",configuration_error
"Incorrect permissions on configuration directory",configuration_error
"Unsupported TLS version in config",configuration_error
"Error parsing config for 'auth-service'",configuration_error
"Database connection refused on 10.0.0.5",database_error
"SQL error: relation 'users' does not exist",database_error
"Transaction deadlock detected in 'orders'",database_error
"Query timeout on 'customer_table'",database_error
"Database unreachable: /db/users",database_error
"MySQL server refused connection",database_error
"Database migration failed: checksum mismatch",database_error
"Redis connection dropped unexpectedly",database_error
"MongoDB write failed: duplicate key",database_error
"PostgreSQL query failed: syntax error",database_error
"Filesystem error: disk quota exceeded at '/var/log'",filesystem_error
"File corruption detected at '/etc/config.xml'",filesystem_error
"Unable to write to '/tmp/cache.tmp'",filesystem_error
"Permission denied for '/etc/hosts'",filesystem_error
"Symbolic link loop detected at '/opt/data'",filesystem_error
"File upload failure: corrupted chunk",filesystem_error
"Filesystem inconsistency detected on /dev/sda2",filesystem_error
"Failed to delete /logs/archive.tar.gz",filesystem_error
"File descriptor leak detected in worker",filesystem_error
"Directory /opt/storage not accessible",filesystem_error
"Network unreachable while contacting 10.0.0.1",network_error
"DNS resolution failed for backend-service",network_error
"Packet loss exceeded threshold on eth0",network_error
"High latency detected in internal network",network_error
"SSL handshake failed contacting billing-service",network_error
"Route to gateway 192.168.1.1 unavailable",network_error
"Connection reset during TLS handshake",network_error
"Network timeout fetching remote metadata",network_error
"TCP connection aborted unexpectedly",network_error
"Network congestion detected across nodes",network_error
"Out of memory: process 'worker-1' killed",resource_exhaustion
"Thread pool exhausted in 'auth-service'",resource_exhaustion
"System memory critically low in 'scheduler'",resource_exhaustion
"Too many open file handles in 'daemon'",resource_exhaustion
"CPU starvation detected in 'analytics-node'",resource_exhaustion
"Cache eviction storm triggered in cache-service",resource_exhaustion
"Worker process starved for CPU time",resource_exhaustion
"Disk quota exceeded for user backup",resource_exhaustion
"Memory allocation failure in compute unit",resource_exhaustion
"System load average exceeded safe threshold",resource_exhaustion
"Security alert: unauthorized access attempt by 'admin'",security_alert
"Suspicious token reuse by 'qa-user'",security_alert
"Malware signature found in '/tmp/upload.bin'",security_alert
"Firewall blocked scanning behavior from 10.2.3.4",security_alert
"Anomalous login detected for user 'svc-prod'",security_alert
"Untrusted binary execution attempt blocked",security_alert
"Certificate validation failure detected",security_alert
"Multiple failed admin logins from unknown region",security_alert
"Privilege escalation attempt detected",security_alert
"Unauthorized access to restricted endpoint",security_alert
"Request timed out contacting 'auth-service'",service_timeout
"Service timeout after waiting for 'billing-api'",service_timeout
"Operation exceeded timeout threshold for 'sync-job'",service_timeout
"Health probe timed out for worker node",service_timeout
"Connection timed out accessing 'compute-node'",service_timeout
"API request stalled and timed out",service_timeout
"Request to billing service exceeded timeout",service_timeout
"Database read timed out",service_timeout
"Task execution timed out after retry",service_timeout
"Service timeout after 12 seconds",service_timeout
"Failed login attempt for user 'qa-user'",authentication_failure
"Invalid credentials provided for user 'root'",authentication_failure
"Authentication failed: token invalid for 'service'",authentication_failure
"MFA verification failed for 'admin'",authentication_failure
"Kerberos authentication failed for 'backup'",authentication_failure
"SSO login denied for 'prod-user'",authentication_failure
"User 'staging' blocked after failed attempts",authentication_failure
"Invalid credentials provided for user 'node-agent'",authentication_failure
"Authentication failed: token invalid for 'root'",authentication_failure
"Failed login attempt for user 'svc-api'",authentication_failure
"User 'root' successfully authenticated",authentication_success
"Authentication succeeded for 'devops'",authentication_success
"Token validated for 'qa-user'",authentication_success
"Accepted password for 'backend'",authentication_success
"SSO login successful for 'agent01'",authentication_success
"User 'john.doe' successfully authenticated",authentication_success
"Authentication succeeded for 'monitoring'",authentication_success
"Successful token verification for 'cache-admin'",authentication_success
"MFA challenge passed for 'app-user'",authentication_success
"Session established for user 'staging'",authentication_success
"API error 503 for endpoint /v2/sync",api_error
"Unexpected API exception at /v3/report",api_error
"Malformed API request to /v2/data",api_error
"Gateway returned 502 for /v1/users",api_error
"API error: conflict on /v1/config",api_error
"API responded with 500 on /metrics/update",api_error
"Unexpected API exception at /auth/verify",api_error
"API timeout reaching reporting-engine",api_error
"GET /system/info crashed due to exception",api_error
"POST /compute/task returned error 500",api_error
"Incoming request: GET /system/health",api_request
"POST /jobs/submit initiated",api_request
"PUT /cache/refresh started",api_request
"DELETE /jobs/93 processed",api_request
"PATCH /roles/assign received",api_request
"OPTIONS /system/ping from client",api_request
"HEAD /app/version check executed",api_request
"GET /api/info from client",api_request
"POST /cluster/refresh initiated",api_request
"GET /workers/status from 10.0.0.1",api_request
"Configuration error: missing key 'db.host'",configuration_error
"Invalid YAML syntax in 'cluster.yml'",configuration_error
"Malformed JSON in 'auth.json'",configuration_error
"Unknown configuration parameter 'nodeSize'",configuration_error
"Configuration mismatch detected in 'cluster-map.yml'",configuration_error
"Invalid environment variable detected: MAX_THREADS",configuration_error
"Incorrect permissions on /etc/app-config",configuration_error
"Unsupported TLS mode in deployment",configuration_error
"Error parsing config for 'scheduler'",configuration_error
"Configuration error: missing field 'replicas'",configuration_error
"Database connection refused on /var/db/main",database_error
"SQL error: relation 'audit' does not exist",database_error
"Transaction deadlock detected in 'billing'",database_error
"Query timeout on 'products_table'",database_error
"Database unreachable: orders-db",database_error
"MySQL client refused connection",database_error
"Database migration aborted: integrity failure",database_error
"Redis cluster node unreachable",database_error
"MongoDB write failed: duplicate entry",database_error
"SQL error: invalid syntax near WHERE",database_error
"Filesystem error: disk quota exceeded at '/srv/logs'",filesystem_error
"File corruption detected at '/tmp/service.bin'",filesystem_error
"Unable to write to '/var/cache/buffer.tmp'",filesystem_error
"Permission denied for '/etc/shadow'",filesystem_error
"Symbolic link loop detected at '/mnt/shared'",filesystem_error
"Filesystem structure inconsistent on /dev/nvme0n1",filesystem_error
"Failed to delete /tmp/core.dump",filesystem_error
"File descriptor leak in logging daemon",filesystem_error
"Directory /mnt/secure not accessible",filesystem_error
"File corruption detected at '/opt/app/config.yaml'",filesystem_error
"Network unreachable while contacting 172.16.0.2",network_error
"DNS lookup failed for gateway-service",network_error
"Packet loss exceeded threshold on ens160",network_error
"High network latency across region",network_error
"SSL handshake failed contacting auth-proxy",network_error
"Route to 10.10.0.1 unavailable",network_error
"Connection reset during key exchange",network_error
"Network timeout during handshake",network_error
"TCP session aborted unexpectedly",network_error
"Network congestion across datacenter",network_error
"Out of memory: container 'worker-7' killed",resource_exhaustion
"Thread pool saturation in 'api-engine'",resource_exhaustion
"System memory critically low in 'cache-node'",resource_exhaustion
"Open file limit exceeded in 'db-writer'",resource_exhaustion
"CPU starvation detected in 'node-03'",resource_exhaustion
"Memory exhaustion in analytics pipeline",resource_exhaustion
"Worker process out of CPU cycles",resource_exhaustion
"Cache thrashing detected in redis-proxy",resource_exhaustion
"File descriptor exhaustion in pipeline",resource_exhaustion
"Insufficient memory to complete job",resource_exhaustion
"Security alert: unauthorized access attempt by 'linux-admin'",security_alert
"Suspicious token reuse detected for user 'ai-user'",security_alert
"Malware detected in uploaded file '/tmp/upload.dat'",security_alert
"Firewall blocked port scan from 192.168.1.77",security_alert
"Suspicious login pattern detected for 'svc-root'",security_alert
"Untrusted script execution attempt blocked",security_alert
"Certificate validation failed for root CA",security_alert
"Repeated failed admin logins from foreign IP",security_alert
"Privilege escalation attempt stopped",security_alert
"Security rule triggered for untrusted IP",security_alert
"Request timed out contacting 'reporting-api'",service_timeout
"Service timeout after waiting for 'cache-service'",service_timeout
"Operation exceeded timeout threshold for 'merge-job'",service_timeout
"Health probe timed out for 'billing-worker'",service_timeout
"Connection timed out accessing 'data-ingest'",service_timeout
"Service call exceeded 8s timeout",service_timeout
"Request to analytics pipeline timed out",service_timeout
"Database read timed out due to overload",service_timeout
"Task execution timed out after retries",service_timeout
"Service timeout contacting frontend",service_timeout
